reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
12345,2023-04-28 12:15:00,Illinois Institute of Technology,Shailja,Connected,,IANF23
12345,2023-04-28 13:04:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
12345,2023-01-05 11:14:00,Illinois Institute of Technology,Shailja,Connected,,IANF23
347397,2023-01-05 11:16:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
347397,2023-01-05 11:18:00,Illinois Institute of Technology,Isha,Connected,,IANF23
358065,2023-01-05 11:19:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
351333,2023-01-05 11:21:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346435,2023-01-05 11:26:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
355959,2023-01-05 11:29:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
351520,2023-01-05 11:30:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
372165,2023-01-05 11:32:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
369273,2023-01-05 11:32:00,Illinois Institute of Technology,Shailja,Completed application,,IANF23
365995,2023-01-05 11:33:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
348627,2023-01-05 11:35:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
350814,2023-01-05 11:36:00,Illinois Institute of Technology,Isha,Will Submit the docx,by next week,IANF23
357845,2023-01-05 11:37:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
336070,2023-01-05 11:38:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345428,2023-01-05 11:41:00,Illinois Institute of Technology,Shailja,Will Submit the docx,stu requires scholarship doc in form of pdf nd will submit fin docx in 2 days,IANF23
352791,2023-01-05 11:45:00,Illinois Institute of Technology,Isha,Will Submit the docx,within 10 days,IANF23
363532,2023-01-05 11:53:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
367273,2023-01-05 11:55:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
346775,2023-01-05 12:01:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
355929,2023-01-05 12:10:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
362117,2023-01-05 12:10:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
355914,2023-01-05 12:11:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
